,city,comments,name,prices,quality_price,rating,services,stars
679,Bacalar,113,Villas Bakalar Hotel,2045 # 1840 # 1927,4.0,4.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Piscina # Piscina al aire libre # Restaurante # Hotel para no fumadores # Aire acondicionado # Kitchenette # Refrigerador # Habitaciones para no fumadores # Suites,5.0
694,Bacalar,197,Hostal & Suites Pata de Perro,562 # 656 # 656 # 656 # 627,4.5,4.5,Estacionamiento público gratuito cercano # Internet de alta velocidad gratuito (WiFi) # Cafetería # Alquiler de bicicletas # Navegación # Transporte al aeropuerto # Fotocopiadora/Fax en el centro de negocios # Masaje en pareja # Aire acondicionado # Comedor # Servicio de limpieza # Caja fuerte # Guardarropa/Ropero # Estante para la ropa # Kitchenette # Cocina # Habitaciones para no fumadores # Suites # Habitaciones para familias,0
696,Bacalar,128,Hotel Hacienda Bacalar,950 # 950 # 950,4.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Sala de juegos # Juegos de mesa/Rompecabezas # Los niños se alojan gratis # Libros #  DVD #  música para niños # Servicio de taxi # Aire acondicionado # Escritorio # Servicio de limpieza # Guardarropa/Ropero # Baños privados # Piso de azulejos/mármol # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores # Habitaciones para familias,3.0
698,Bacalar,55,Azul 36 Hotel,1744 # 1744 # 1744 # 1492 # 1492,2.0,4.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Internet # Piscina # Actividades infantiles (Ideal para niños / familias) # Aire acondicionado # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores,0
703,Mazunte,107,Casa Mermejita Villa vacacional,2250 # 2250,4.5,4.5,Estacionamiento gratis # Internet gratuito # Piscina # Bar/Salón # Actividades infantiles (Ideal para niños / familias) # Se admiten mascotas ( Se aceptan perros / mascotas ) # Masaje # Conserje # Escritorio # Servicio de limpieza # Caja fuerte # Sala de estar # Bañera/Ducha # Productos de tocador de cortesía # Vista al mar # Habitaciones para no fumadores # Habitaciones para familias,3.0
706,Mazunte,24,Casa Mazunte Tierra Viva Casa de campo,785 # 866,5.0,4.5,Estacionamiento gratis # Garaje de estacionamientos # Internet de alta velocidad gratuito (WiFi) # Restaurante # Playa # Actividades infantiles (Ideal para niños / familias) # Almacenamiento de equipaje # Hotel para no fumadores # Servicio de limpieza # Botellas de agua # Kitchenette # Microondas # Refrigerador # Habitaciones para no fumadores # Suites # Habitaciones para familias # Habitaciones para fumadores disponibles,2.0
711,Mazunte,25,Cabañas Telayú,840 # 601 # 840 # 601,4.0,3.5,Piscina # Piscina en la terraza # Actividades infantiles (Ideal para niños / familias) # Red para mosquitos # Estante para la ropa # Bañera/Ducha,0
769,Bacalar,24,Casa Hormiga Hotel,3642 # 3642 # 3642 # 3644 # 3642 # 3644,0.0,4.5,Estacionamiento gratis # Internet gratuito # Piscina # Clases de yoga # Bar/Salón # Playa # Alquiler de bicicletas # Libros #  DVD #  música para niños # Habitación libre de alérgenos # Aire acondicionado # Escritorio # Comedor # Servicio de limpieza # Balcón privado # Ducha a ras de suelo # Bañera/Ducha # Vista a la piscina # Habitaciones para no fumadores # Suites # Habitaciones para familias,0
772,Bacalar,55,El Roble Hotel,589 # 589 # 591 # 591,4.0,4.0,Internet de alta velocidad gratuito (WiFi) # Internet,0
775,Bacalar,23,Hotel Boutique Aurea Alojamiento,2900,0.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Bar/Salón # Playa # Canotaje # Se admiten mascotas ( Se aceptan perros / mascotas ) # Solo para adultos # Instalaciones para hacer parrillas # Cortinas blackout # Aire acondicionado # Playa privada # Escritorio # Balcón privado # Kitchenette # Camas extralargas # Bañera/Ducha # Vista al mar # Habitaciones para no fumadores # Suites,0
777,Bacalar,33,Agam Hotel Bacalar,1689 # 1689 # 1689,4.5,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Bar/Salón # Cadenas de televisión para niños # Piscina para niños # Red para mosquitos # Muebles de exterior # Cortinas blackout # Aire acondicionado # Escritorio # Servicio de limpieza # Caja fuerte # Minibar # TV por cable/satélite # Bañera con hidromasaje # Vista a la piscina # Habitaciones para no fumadores,0
779,Bacalar,363,Hotel & Suites Oasis Bacalar,1691 # 1691 # 1618,5.0,5.0,Estacionamiento gratis # Internet gratuito # Piscina # Café instantáneo gratis # Alquiler de bicicletas # Navegación # Cadenas de televisión para niños # Piscina para niños # Aire acondicionado # Comedor # Servicio de limpieza # Balcón privado # Máquina de café/té # Kitchenette # TV por cable/satélite # Bañera/Ducha # Vista a la piscina # Habitaciones para no fumadores # Suites # Habitaciones para familias,0
780,Bacalar,441,Casa Chukum - Hotel Boutique,2300 # 2300 # 2300 # 2300 # 2277 # 2277,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Bar/Salón # Juegos de mesa/Rompecabezas # Solárium # Terraza en la azotea # Conserje # Habitación libre de alérgenos # Cortinas blackout # Aire acondicionado # Escritorio # Servicio de limpieza # Balcón privado # TV pantalla plana # Productos de tocador de cortesía # Vista a la piscina # Habitaciones para no fumadores # Habitaciones para familias,0
808,Isla Mujeres,175,Francis Arlene Hotel,1575,4.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Solo para adultos # Hotel para no fumadores # Aire acondicionado # Balcón privado # Caja fuerte # Kitchenette # Refrigerador # TV pantalla plana # Habitaciones para no fumadores,2.0
809,Isla Mujeres,23,Posada Paso Del Sol Hostal especializado,644 # 620 # 620 # 620,4.0,4.0,Internet de alta velocidad gratuito (WiFi) # Actividades infantiles (Ideal para niños / familias) # Aire acondicionado # Estante para la ropa # Plancha # Máquina de café/té # Minibar # Utensilios de cocina # Habitaciones para no fumadores,0
811,Isla Mujeres,17,casa azul maya Apartamento,1501 # 1501 # 1501 # 1501 # 1499,5.0,4.5,Estacionamiento gratis # Internet gratuito # Piscina infinita # Desayuno gratis # Alquiler de bicicletas # Bicicletas disponibles # Cadenas de televisión para niños # Transporte al aeropuerto # Cortinas blackout # Habitaciones insonorizadas # Aire acondicionado # Comedor # Máquina de café/té # TV por cable/satélite # Camas extralargas # Ducha a ras de suelo # Habitaciones para no fumadores # Suites # Habitaciones para familias,0
814,Isla Mujeres,94,Hotel Kinich,1890,4.5,4.5,Internet de alta velocidad gratuito (WiFi) # Wifi # Restaurante # Hotel para no fumadores # Recepción disponible las 24 horas # Aire acondicionado # Servicio de limpieza # Balcón privado # Caja fuerte # Kitchenette # Microondas # Refrigerador # Habitaciones para no fumadores # Suites,3.0
817,Isla Mujeres,131,Hotel Isleño,1546 # 1546,4.5,4.0,Internet de alta velocidad gratuito (WiFi) # Wifi # Hotel para no fumadores # Recepción disponible las 24 horas # Aire acondicionado # Escritorio # Balcón privado # Caja fuerte # Refrigerador # TV pantalla plana # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores # Habitaciones para familias,3.0
820,Isla Mujeres,286,Hotel Xbulu-Ha,1269 # 1142 # 1142,4.5,4.0,Internet de alta velocidad gratuito (WiFi) # Wifi # Esnórquel # Almacenamiento de equipaje # Hotel para no fumadores # Aire acondicionado # Caja fuerte # Kitchenette # Microondas # Refrigerador # TV pantalla plana # Habitaciones para no fumadores # Suites,2.0
823,Isla Mujeres,1019,Na Balam Beach Hotel,3048 # 3048,3.5,3.5,Estacionamiento gratis # Internet gratuito # Piscina # Bar/Salón # Playa # Buceo # Spa # Hotel para no fumadores # Aire acondicionado # Escritorio # Balcón privado # Caja fuerte # Bañera/Ducha # Secador de pelo # Vista al mar # Habitaciones para no fumadores # Suites,3.5
838,Mazunte,164,ZOA Hotel,6773 # 6403 # 6403 # 6773 # 6403,4.5,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Clases de yoga # Bar/Salón # Playa # Juegos de mesa/Rompecabezas # Se admiten mascotas ( Se aceptan perros / mascotas ) # Aire acondicionado # Playa privada # Servicio de limpieza # Servicio a la habitación # Caja fuerte # Botellas de agua # Vista al mar # Suite nupcial # Habitaciones para no fumadores # Suites,4.5
843,Loreto,181,Posada de las Flores Loreto Hotel,2480 # 2480 # 2480 # 2480 # 2407,3.5,4.0,Estacionamiento público gratuito cercano # Internet de alta velocidad gratuito (WiFi) # Piscina # Desayuno gratis # Esnórquel # Pesca # Se admiten mascotas ( Se aceptan perros / mascotas ) # Spa # Batas de baño # Aire acondicionado # Escritorio # Servicio de limpieza # Caja fuerte # Minibar # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores # Suites,4.0
844,Loreto,34,Bugambilias Suites Hotel,1507 # 1507,5.0,5.0,Internet de alta velocidad gratuito (WiFi) # Internet # Actividades infantiles (Ideal para niños / familias) # Servicio de lavandería # Aire acondicionado # Kitchenette # Refrigerador # Habitaciones para no fumadores,2.5
847,Loreto,97,Hacienda Suites Hotel,1720 # 1504 # 1516,4.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Desayuno gratis # Actividades infantiles (Ideal para niños / familias) # Se admiten mascotas ( Se aceptan perros / mascotas ) # Transporte al aeropuerto # Centro de negocios con acceso a Internet # Aire acondicionado # Servicio a la habitación # Habitaciones para no fumadores,3.0
848,Loreto,77,Hotel 1697 Loreto,2319 # 2319 # 2319,4.5,4.5,Estacionamiento gratis # Estacionamiento vigilado # Internet de alta velocidad gratuito (WiFi) # Wifi # Bar/Salón # Conserje # Hotel para no fumadores # Servicio de lavandería # Aire acondicionado # Servicio de limpieza # Refrigerador # TV pantalla plana # Habitaciones para no fumadores,3.0
849,Loreto,60,Hotel Angra,1016,4.5,4.5,Estacionamiento vigilado # Internet de alta velocidad gratuito (WiFi) # Wifi # Desayuno gratis # Se admiten mascotas ( Se aceptan perros / mascotas ) # Salas de reuniones # Hotel para no fumadores # Aire acondicionado # Servicio de limpieza # Habitaciones para no fumadores,2.5
851,Loreto,142,Posada del Cortes Hotel,2389 # 2389,4.5,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Alquiler de bicicletas # Bicicletas disponibles # Los niños se alojan gratis # Terraza en la azotea # Hotel para no fumadores # Check-in y check-out exprés # Batas de baño # Aire acondicionado # Botellas de agua # Plancha # Piso de azulejos/mármol # Máquina de café/té # TV pantalla plana # Productos de tocador de cortesía # Vista a la ciudad # Vista a un lugar de interés # Habitaciones para no fumadores,2.0
1012,Loreto,219,Hotel Oasis,2521 # 2521 # 2285,3.5,3.5,Estacionamiento gratis # Internet gratuito # Piscina # Desayuno gratis # Playa # Alquiler de bicicletas # Cadenas de televisión para niños # Sillitas altas disponibles # Aire acondicionado # Escritorio # Servicio de limpieza # Habitaciones interconectadas disponibles # Máquina de café/té # TV por cable/satélite # TV pantalla plana # Bañera/Ducha # Vista al mar # Vista a la piscina # Habitaciones para no fumadores # Suites # Habitaciones para familias,3.0
1013,Loreto,814,Loreto Bay Golf Resort & Spa at Baja Hotel,1940 # 1940,4.0,3.5,Garaje de estacionamientos # Internet de alta velocidad gratuito (WiFi) # Piscina # Gimnasio / Sala de entrenamiento # Bar/Salón # Playa # Bicicletas disponibles # Piscina para niños # Aire acondicionado # Playa privada # Servicio de limpieza # Balcón privado # TV por cable/satélite # TV pantalla plana # Bañera/Ducha # Productos de tocador de cortesía # Vista al mar # Vista a un lugar de interés # Habitaciones para no fumadores # Suites # Habitaciones para familias,4.5
1014,Loreto,1002,Hotel La Misión Loreto,3212 # 3212 # 3480 # 3235 # 3644,4.5,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Bar/Salón # Buceo # Excursionismo # Los niños se alojan gratis # Se admiten mascotas ( Se aceptan perros / mascotas ) # Cortinas blackout # Aire acondicionado # Escritorio # Servicio de limpieza # Balcón privado # Máquina de café/té # TV por cable/satélite # Bañera/Ducha # Vista a la montaña # Vista al mar # Vista a la ciudad # Vista a la piscina # Suite nupcial # Habitaciones para no fumadores # Suites # Habitaciones para familias,3.5
1015,Loreto,172,Hotel Tripui Resort,1592 # 1592 # 1592 # 1592 # 1436,4.5,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Desayuno gratis # Buceo # Campo de golf # Se admiten mascotas ( Se aceptan perros / mascotas ) # Transporte al aeropuerto # Aire acondicionado # Balcón privado # Servicio a la habitación # Caja fuerte # Botellas de agua # Habitaciones para no fumadores # Suites # Habitaciones para familias,3.0
1051,Loreto,587,Hotel Santa Fe Loreto By Villa Group,1679 # 1679 # 1601,4.5,4.5,Estacionamiento gratis # Internet gratuito # Piscina # Restaurante # Buceo # Excursionismo # Guardería # Piscina para niños # Aire acondicionado # Baño adicional # Comedor # Servicio de limpieza # Servicio a la habitación # Caja fuerte # Kitchenette # Microondas # Habitaciones para no fumadores # Suites # Habitaciones para familias,3.0
1099,Bacalar,4,Aldea Che-eek,1250,0.0,5.0,,0
1104,Bacalar,0,Casa La Joya Bacalar Hotel,1650,0.0,,,0
1105,Bacalar,6,Stone Aparments,1114,0.0,3.0,Actividades infantiles (Ideal para niños / familias),0
1106,Bacalar,12,Pancho Villas,1820,0.0,3.5,Bañera de hidromasaje # Actividades infantiles (Ideal para niños / familias) # Servicio de lavandería,0
1107,Bacalar,4,Tropic Bacalar,1900,0.0,4.0,,0
1109,Bacalar,7,OYO Hotel Casa Ariana Alojamiento,720 # 665 # 720,0.0,4.5,Estacionamiento gratis,0
1110,Bacalar,3,Poza Clara Sanctuary Hotel,1499 # 1199 # 1199,0.0,4.5,Actividades infantiles (Ideal para niños / familias),0
1112,Bacalar,4,Royal Palm Bacalar Cabanas & Lagoon Club Posada,1250 # 1015 # 1250,0.0,3.5,,0
1113,Bacalar,26,VILLA COLIBRÍ BACALAR Posada,4747 # 1419 # 1138,2.0,3.5,Estacionamiento gratuito privado cercano # Internet gratuito # Piscina # Sauna # Desayuno gratis # Alquiler de bicicletas # Sala de juegos # Patio de juegos para niños # Aire acondicionado # Escritorio # Servicio de limpieza # Caja fuerte # Guardarropa/Ropero # Minibar # TV por cable/satélite # Productos de tocador de cortesía # Vista a la piscina # Habitaciones para no fumadores # Habitaciones para familias,0
1114,Bacalar,1,Hotel Casa Poblana,908,0.0,5.0,,0
1115,Bacalar,3,Casa Árabe Alojamiento,1600 # 1377,0.0,3.5,,0
1116,Bacalar,4,Cabanas Pucte,2475 # 2475,0.0,3.5,,0
1117,Bacalar,7,El Roble Hotel Nature,1125 # 1125,4.5,4.0,Estacionamiento gratuito privado cercano # Playa # Actividades infantiles (Ideal para niños / familias) # Almacenamiento de equipaje # Hotel para no fumadores # Recepción disponible las 24 horas # Aire acondicionado # Playa privada # Servicio de limpieza # Plancha,0
1121,Bacalar,5,Hotelito K´uyche´ Alojamiento,787 # 787,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Aire acondicionado # Habitaciones para no fumadores # Habitaciones para familias,0
1130,Bacalar,9,Zensus,1566 # 1566 # 1566,0.0,5.0,,0
1132,Bacalar,122,Casa Lamat,1234 # 1240 # 1234,3.5,4.0,Estacionamiento gratis # Internet gratuito # Playa # Alquiler de bicicletas # Se admiten mascotas ( Se aceptan perros / mascotas ) # Spa # Conserje # Hotel para no fumadores # Habitaciones para no fumadores # Habitaciones para familias,0
1134,Bacalar,99,Amigos Hotelito,1800 # 1800,4.0,4.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Desayuno disponible # Playa # Alquiler de bicicletas # Almacenamiento de equipaje # Cambio de divisas # Servicio de lavandería # Aire acondicionado # Habitaciones para no fumadores # Habitaciones para familias,0
1135,Bacalar,737,Centro Holistico Akalki Spa,7612,4.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi público # Bar/Salón # Canotaje # Spa # Conserje # Hotel para no fumadores # Balcón privado # Vista al mar # Habitaciones para no fumadores # Suites # Habitaciones para familias,0
1136,Bacalar,62,Bacalar Sunrise Villa Alojamiento,1461 # 1264,5.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Desayuno gratis # Bicicletas disponibles # Canotaje # Actividades infantiles (Ideal para niños / familias) # Equipo para niños para jugar al aire libre # Se admiten mascotas ( Se aceptan perros / mascotas ) # Cortinas blackout # Aire acondicionado # Escritorio # Balcón privado # Guardarropa/Ropero # Máquina de café/té # TV pantalla plana # Ducha a ras de suelo # Vista a un lugar de interés # Suites # Habitaciones para familias,0
1138,Bacalar,53,Hotel Sun Ha Bacalar,1584 # 1584 # 1584,4.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi público # Desayuno gratis # Actividades infantiles (Ideal para niños / familias) # Hotel para no fumadores # Aire acondicionado # Habitaciones para no fumadores # Habitaciones para familias,2.0
1139,Bacalar,236,Casa Bakal Hostal,2884 # 2601,3.0,4.0,Estacionamiento gratis # Internet gratuito # Piscina # Clases de yoga # Desayuno gratis # Playa # Navegación # Se admiten mascotas ( Se aceptan perros / mascotas ) # Aire acondicionado # Servicio de limpieza # Caja fuerte # Botellas de agua # Baños privados # Productos de tocador de cortesía # Vista a un lugar de interés # Habitaciones para no fumadores,0
1140,Bacalar,17,Hotel ADE,1019 # 1019,0.0,3.5,Estacionamiento privado pagado cercano # Internet gratuito # Wifi # Alquiler de bicicletas # Actividades infantiles (Ideal para niños / familias) # Terraza en la azotea # Check-in y check-out exprés # Aire acondicionado # Servicio de limpieza # Botellas de agua # Baños privados # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores # Habitaciones para familias,0
1142,Bacalar,26,Hotel Casa Lima,893,4.5,4.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Restaurante # Actividades infantiles (Ideal para niños / familias) # Transporte al aeropuerto # Tienda de regalos # Hotel para no fumadores # Recepción disponible las 24 horas # Habitaciones insonorizadas # Aire acondicionado # Servicio de limpieza # Estante para la ropa # Productos de tocador de cortesía # Suite nupcial # Habitaciones para familias,0
1145,Bacalar,15,Casa Delia Hotel,1050 # 1050 # 945,4.5,4.5,Actividades infantiles (Ideal para niños / familias),0
1146,Bacalar,25,Casa Zazil Villa vacacional,1355 # 1150 # 1150,4.0,5.0,Estacionamiento gratis # Estacionamiento # Internet de alta velocidad gratuito (WiFi) # Desayuno gratis # Alquiler de bicicletas # Servicio de taxi # Seguridad las 24 horas # Recepción disponible las 24 horas # Aire acondicionado # Escritorio # Servicio de limpieza # Caja fuerte # Máquina de café/té # Refrigerador # TV por cable/satélite # Productos de tocador de cortesía # Habitaciones para no fumadores # Habitaciones para familias,0
1147,Bacalar,139,Toto Blue Hotel Boutique,2140 # 1926,3.5,4.0,Internet de alta velocidad gratuito (WiFi) # Wifi # Restaurante # Desayuno disponible # Se admiten mascotas ( Se aceptan perros / mascotas ) # Hotel para no fumadores # Limpieza en seco # Aire acondicionado # TV pantalla plana # Habitaciones para no fumadores # Habitaciones para familias,3.5
1148,Bacalar,7,Hotel Henry Inn,799,5.0,5.0,,0
1150,Bacalar,0,Mayanah Condo Hotel,6995,0.0,,,0
1157,Bacalar,0,Blue Hotel,600 # 600,0.0,,Actividades infantiles (Ideal para niños / familias) # Servicio de lavandería,0
1158,Bacalar,0,Las Palmas,600 # 600,0.0,,,0
1159,Bacalar,0,Isel Magic Hotel,1000,0.0,,,0
1160,Bacalar,3,OYO Hotel Seyba Bakalar,3000,0.0,1.5,,0
1320,Bacalar,0,Tropic Bacalar Hotel,1572 # 1572 # 1572 # 1572,0.0,,,0
1321,Bacalar,0,Hotel Catedral,900,0.0,,,0
1323,Bacalar,13,Hotel Pancho Villas Bacalar,1850 # 1872 # 1872,0.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Restaurante # Desayuno disponible # Playa # Actividades infantiles (Ideal para niños / familias) # Spa # Aire acondicionado # Suites,0
1325,Bacalar,6,XO Hotel Bacalar,1358 # 1358 # 1949,0.0,3.0,,0
1326,Bacalar,2,Papitos Bacalar,960 # 960 # 960,0.0,4.0,,0
1327,Bacalar,11,Casa Bizu B & B,1080 # 1080,0.0,3.5,Transporte al aeropuerto,0
1328,Bacalar,94,Posada LULÚ La Bruja Hostal,800,3.5,4.0,Internet gratuito # Clases de yoga # Desayuno gratis # Playa # Navegación # Se admiten mascotas ( Se aceptan perros / mascotas ) # Servicio de taxi # Masaje de cuerpo completo # Aire acondicionado # Playa privada # Servicio de limpieza # Balcón privado # Baños privados # Vista al mar # Habitaciones para no fumadores # Suites # Habitaciones para familias # Habitaciones para fumadores disponibles,0
1331,Bacalar,1,Hotel Circulo Bacalar,2500,0.0,5.0,,0
1334,Bacalar,4,Stone Hotel-Apartments,1575 # 1575 # 1575,0.0,4.0,Actividades infantiles (Ideal para niños / familias),0
1335,Bacalar,262,Cabanas Hostal Y Camping & Marina Magic Bacalar,1533,4.5,4.0,Estacionamiento gratis # Estacionamiento en la calle # Café instantáneo gratis # Alquiler de bicicletas # Canotaje # Servicio de taxi # Almacenamiento de equipaje # Hotel para no fumadores # Playa privada # Comedor # Servicio de limpieza # Sala de estar # Kitchenette # Refrigerador # Cocina # Utensilios de cocina # Habitaciones para no fumadores # Habitaciones para familias,1.0
1336,Bacalar,30,Blue Palm Bacalar,2808 # 2522 # 2522,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Clases de yoga # Desayuno gratis # Playa # Bicicletas disponibles # Transporte al aeropuerto # Habitación libre de alérgenos # Cortinas blackout # Aire acondicionado # Escritorio # Servicio de limpieza # Balcón privado # TV por cable/satélite # Ducha a ras de suelo # Vista a la piscina # Habitaciones para no fumadores # Suites,0
1337,Bacalar,14,La Kinta Hotel,1289 # 890,0.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Cafetería # Se admiten mascotas ( Se aceptan perros / mascotas ) # Masaje en pareja # Sombrillas # Kit de primeros auxilios # Aire acondicionado # Servicio de limpieza # Caja fuerte # Botellas de agua # Estante para la ropa # TV por cable/satélite # TV pantalla plana # Productos de tocador de cortesía # Habitaciones para no fumadores # Suites # Habitaciones para familias,0
1338,Bacalar,87,Hotel Tuparenda Bacalar Hotel especializado,1400 # 1400 # 1400,4.5,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Desayuno gratis # Terraza en la azotea # Aire acondicionado # Caja fuerte # TV pantalla plana # Habitaciones para no fumadores # Habitaciones para familias,0
1414,Todos Santos,123,Serendipity B & B,3387 # 3387,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Desayuno gratis # Playa # Actividades infantiles (Ideal para niños / familias) # Instalaciones para conferencias # Salón de banquetes # Aire acondicionado # Servicio de limpieza # Botellas de agua # Minibar # Refrigerador # Vista al mar # Habitaciones para no fumadores # Habitaciones para familias,5.0
1416,Todos Santos,104,La Bohemia Baja Hotel Pequeno,2904,5.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Bar/Salón # Guardería # Se admiten mascotas ( Se aceptan perros / mascotas ) # Transporte al aeropuerto # Conserje # Aire acondicionado # Servicio de despertador/Reloj despertador # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores # Suites # Habitaciones para familias,3.0
1417,Todos Santos,95,Paradero Todos Santos Hotel,12756 # 12756 # 12756 # 12756 # 12760 # 12756,4.5,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Desayuno gratis # Bar/Salón # Restaurante # Transporte al aeropuerto # Spa,0
1418,Todos Santos,429,Guaycura Boutique Hotel Beach Club & Spa,4477 # 4477 # 4477 # 4499 # 4477 # 4478,4.5,4.5,Internet de alta velocidad gratuito (WiFi) # Piscina # Sauna # Bar/Salón # Alquiler de bicicletas # Se admiten mascotas ( Se aceptan perros / mascotas ) # Spa # Terraza en la azotea # Aire acondicionado # Playa privada # Balcón privado # Servicio a la habitación # Caja fuerte # TV pantalla plana # Habitaciones para no fumadores # Suites # Habitaciones para familias,3.5
1419,Todos Santos,69,Perro Surfero Boutique Hotel B & B,2199 # 2826 # 2812,5.0,4.5,Internet de alta velocidad gratuito (WiFi) # Wifi # Piscina # Piscina al aire libre # Gimnasio / Sala de entrenamiento # Se admiten mascotas ( Se aceptan perros / mascotas ) # Terraza en la azotea # Conserje # Aire acondicionado # Habitaciones para no fumadores # Habitaciones para familias,0
1420,Todos Santos,103,Hacienda Todos Los Santos Hotel,4085 # 4085 # 4085 # 4085 # 3689,4.5,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Piscina # Piscina al aire libre # Masaje # Aire acondicionado # Balcón privado # Sala de estar # Kitchenette # Microondas # Utensilios de cocina # TV pantalla plana # Suites,5.0
